ID_Cliente,Ingreso_Mensual,Tipo_Vivienda,Mora_Previa,Estado_Credito,Puntaje_Psicometrico
FT-00080,6.36,Propia,0,0,72
FT-00081,3.49,Propia,0,0,99
FT-00082,7.32,Propia,0,0,77
FT-00083,3.81,Propia,0,0,90
FT-00084,7.9,Alquilada,0,0,65
FT-00085,3.65,Propia,0,0,56
FT-00086,3.67,Propia,0,0,71
FT-00087,5.38,Propia,0,0,79
FT-00088,5.11,Propia,0,0,80
FT-00089,3.25,Propia,1,1,45
FT-00090,4.04,Propia,0,0,98
FT-00091,3.37,Propia,0,0,77
FT-00092,3.29,Propia,0,0,70
FT-00093,4.03,Propia,0,0,70
FT-00094,3.54,Alquilada,0,0,64
FT-00095,4.18,Alquilada,0,0,76
FT-00096,2.71,Propia,0,0,85
FT-00097,2.2,Propia,0,0,88
FT-00098,5.45,Propia,0,0,70
FT-00099,5.74,Alquilada,1,0,72
FT-00100,5.33,Propia,0,0,66
FT-00101,3.97,Propia,0,0,84
FT-00102,3.44,Propia,0,0,59
FT-00103,3.13,Propia,0,0,65
FT-00104,2.93,Propia,0,0,27
FT-00105,1.96,Propia,0,1,30
FT-00106,5.69,Propia,0,0,66
FT-00107,3.04,Alquilada,0,0,67
FT-00108,5.7,Propia,0,0,59
FT-00109,2.24,Propia,0,0,61
FT-00110,4.25,Propia,0,0,87
FT-00111,4.56,Propia,0,0,64
FT-00112,3.25,Propia,0,0,53
FT-00113,1.43,Propia,0,1,67
FT-00114,5.2,Propia,0,0,62
FT-00115,3.98,Propia,0,0,72
FT-00116,8.76,Propia,0,0,77
FT-00117,5.72,Propia,1,0,58
FT-00118,5.74,Propia,0,0,76
FT-00119,2.32,Alquilada,0,1,51
FT-00120,3.06,Propia,0,0,84
FT-00121,2.54,Alquilada,0,0,79
FT-00122,1.96,Propia,0,1,42
FT-00123,3.87,Propia,0,0,70
FT-00124,5.15,Propia,0,0,89
FT-00125,2.74,Propia,0,0,78
FT-00126,1.82,Propia,0,0,64
FT-00127,2.82,Propia,0,0,71
FT-00128,3.7,Alquilada,0,0,66
FT-00129,3.61,Propia,0,0,71
FT-00130,3.93,Propia,0,0,86
FT-00131,4.52,Alquilada,0,0,71
FT-00132,3.9,Alquilada,0,0,64
FT-00133,5.25,Propia,0,0,84
FT-00134,2.76,Propia,0,0,87
FT-00135,3.07,Propia,1,1,44
FT-00136,4.78,Propia,0,0,89
FT-00137,4.32,Propia,0,0,84
FT-00138,7.01,Propia,0,0,67
FT-00139,2.8,Propia,0,0,86
FT-00140,0.88,Alquilada,0,1,60
FT-00141,1.89,Alquilada,0,1,24
FT-00142,3.0,Propia,0,0,61
FT-00143,5.6,Propia,1,0,62
FT-00144,3.89,Propia,0,0,82
FT-00145,4.29,Propia,0,0,73
FT-00146,3.2,Alquilada,0,0,61
FT-00147,3.27,Alquilada,0,0,67
FT-00148,2.18,Alquilada,0,0,66
FT-00149,4.18,Propia,0,0,76
FT-00150,2.66,Propia,0,0,98
FT-00151,2.49,Propia,1,1,38
FT-00152,5.25,Propia,0,0,76
FT-00153,1.96,Alquilada,0,0,90
FT-00154,9.63,Alquilada,0,0,67
FT-00155,3.31,Alquilada,1,1,27
FT-00156,3.77,Alquilada,0,0,68
FT-00157,4.29,Propia,0,0,69
FT-00158,2.94,Alquilada,0,0,69
FT-00159,3.31,Alquilada,0,0,72
FT-00160,5.67,Propia,0,0,71
FT-00161,5.05,Alquilada,0,0,77
FT-00162,3.58,Propia,0,0,68
FT-00163,3.92,Propia,0,0,74
FT-00164,4.12,Alquilada,0,0,55
FT-00165,4.74,Propia,0,0,82
FT-00166,4.85,Alquilada,0,0,85
FT-00167,4.81,Propia,0,0,75
FT-00168,3.38,Propia,0,0,81
FT-00169,4.07,Propia,0,0,64
FT-00170,5.45,Propia,0,0,90
FT-00171,7.79,Propia,0,0,75
FT-00172,4.03,Propia,0,0,55
FT-00173,3.22,Alquilada,0,0,86
FT-00174,2.92,Propia,0,0,81
FT-00175,4.82,Propia,0,0,94
FT-00176,2.15,Alquilada,0,0,91
FT-00177,4.84,Alquilada,0,0,88
FT-00178,4.87,Propia,0,0,78
FT-00179,2.71,Alquilada,0,1,52
FT-00180,4.26,Alquilada,0,0,61
FT-00181,3.62,Propia,0,0,70
FT-00182,2.36,Alquilada,0,0,100
FT-00183,3.4,Alquilada,0,1,68
FT-00184,4.57,Alquilada,0,0,76
FT-00185,3.36,Alquilada,0,0,73
FT-00186,7.75,Propia,1,0,82
FT-00187,3.93,Alquilada,0,0,75
FT-00188,1.89,Propia,0,0,86
FT-00189,5.55,Propia,0,0,73
FT-00190,5.1,Propia,0,0,82
FT-00191,5.31,Propia,0,0,77
FT-00192,2.4,Propia,1,1,65
FT-00193,1.25,Alquilada,1,1,50
FT-00194,3.91,Propia,0,0,87
FT-00195,3.69,Alquilada,0,0,80
FT-00196,6.06,Propia,0,0,84
FT-00197,3.95,Propia,0,0,87
FT-00198,1.97,Alquilada,0,1,37
FT-00199,1.78,Alquilada,0,1,63
FT-00200,2.64,Propia,0,0,69
FT-00201,4.08,Propia,0,0,84
FT-00202,6.22,Propia,0,0,74
FT-00203,3.49,Propia,0,0,75
FT-00204,3.69,Alquilada,1,1,66
FT-00205,3.67,Alquilada,0,0,82
FT-00206,3.8,Alquilada,0,0,82
FT-00207,5.18,Propia,0,0,79
FT-00208,2.63,Propia,1,0,75
FT-00209,2.22,Alquilada,0,0,84
FT-00210,5.56,Propia,0,0,72
FT-00211,3.23,Propia,0,0,89
FT-00212,3.41,Propia,0,0,81
FT-00213,8.35,Propia,0,0,59
FT-00214,5.09,Alquilada,0,0,72
FT-00215,2.85,Alquilada,0,0,77
FT-00216,5.69,Propia,0,0,65
FT-00217,5.13,Propia,1,0,85
FT-00218,1.11,Propia,0,0,51
FT-00219,4.13,Alquilada,0,0,82
FT-00220,2.68,Propia,0,0,81
FT-00221,3.8,Propia,0,0,51
FT-00222,7.8,Propia,0,0,74
FT-00223,5.26,Propia,0,0,68
FT-00224,5.51,Alquilada,0,0,89
FT-00225,3.67,Alquilada,0,0,64
FT-00226,5.51,Propia,0,0,82
FT-00227,2.36,Alquilada,1,1,44
FT-00228,4.11,Propia,0,0,69
FT-00229,3.42,Propia,0,1,45
FT-00230,5.12,Propia,0,0,68
FT-00231,2.27,Propia,0,0,88
FT-00232,7.17,Propia,1,0,100
FT-00233,2.81,Propia,0,0,83
FT-00234,8.91,Alquilada,0,0,80
FT-00235,5.23,Propia,1,0,68
FT-00236,5.07,Propia,0,0,93
FT-00237,2.89,Alquilada,0,0,83
FT-00238,3.28,Alquilada,0,0,68
FT-00239,6.96,Propia,0,0,89
FT-00240,6.63,Propia,0,0,74
FT-00241,2.81,Propia,0,1,25
FT-00242,1.11,Alquilada,0,1,51
FT-00243,3.58,Alquilada,1,1,32
FT-00244,5.71,Propia,0,0,63
FT-00245,5.51,Propia,0,0,69
FT-00246,0.96,Alquilada,1,1,43
FT-00247,4.13,Propia,0,0,70
FT-00248,2.56,Alquilada,1,1,57
FT-00249,2.5,Propia,1,1,38
FT-00250,2.36,Propia,0,0,87
FT-00251,3.43,Propia,0,0,72
FT-00252,4.37,Alquilada,1,0,51
FT-00253,2.19,Propia,0,0,73
FT-00254,3.2,Alquilada,0,0,68
FT-00255,7.76,Alquilada,1,0,75
FT-00256,5.38,Propia,0,0,67
FT-00257,2.0,Alquilada,1,1,49
FT-00258,3.16,Alquilada,0,0,71
FT-00259,2.37,Propia,1,0,71
FT-00260,3.35,Alquilada,0,0,70
FT-00261,4.75,Alquilada,0,0,78
FT-00262,2.92,Alquilada,0,1,49
FT-00263,3.41,Propia,0,0,69
FT-00264,2.79,Alquilada,0,0,73
FT-00265,3.67,Alquilada,0,0,70
FT-00266,3.64,Alquilada,0,0,82
FT-00267,5.14,Propia,0,0,59
FT-00268,4.25,Alquilada,0,0,69
FT-00269,4.05,Alquilada,0,0,71
FT-00270,5.88,Alquilada,0,0,88
FT-00271,6.61,Propia,0,0,86
FT-00272,4.45,Propia,0,0,77
FT-00273,4.49,Propia,0,0,62
FT-00274,2.04,Alquilada,1,1,31
FT-00275,2.88,Propia,0,0,94
FT-00276,5.28,Propia,0,0,71
FT-00277,4.92,Propia,0,0,74
FT-00278,3.87,Propia,0,0,75
FT-00279,4.25,Alquilada,0,0,64
FT-00280,5.75,Propia,0,0,64
FT-00281,5.76,Alquilada,1,1,54
FT-00282,1.49,Alquilada,0,0,70
FT-00283,3.12,Propia,0,0,78
FT-00284,3.86,Alquilada,0,0,75
FT-00285,2.64,Propia,0,0,79
FT-00286,4.29,Alquilada,0,0,97
FT-00287,3.18,Propia,0,0,100
FT-00288,4.34,Alquilada,0,0,74
FT-00289,3.21,Alquilada,0,0,83
FT-00290,3.26,Alquilada,0,0,80
FT-00291,4.33,Propia,0,0,85
FT-00292,5.36,Alquilada,0,0,84
FT-00293,4.82,Alquilada,0,0,67
FT-00294,3.88,Propia,0,0,95
FT-00295,1.95,Propia,0,0,90
FT-00296,3.23,Alquilada,0,0,84
FT-00297,3.11,Propia,0,0,81
FT-00298,5.03,Propia,0,0,77
FT-00299,4.14,Propia,0,0,75
FT-00300,4.19,Propia,0,0,82
FT-00301,2.93,Propia,0,0,76
FT-00302,6.17,Propia,0,0,77
FT-00303,4.18,Propia,0,0,73
FT-00304,2.86,Alquilada,0,0,72
FT-00305,2.94,Alquilada,0,0,94
FT-00306,1.91,Propia,0,1,47
FT-00307,2.83,Propia,0,0,70
FT-00308,3.12,Alquilada,0,0,76
FT-00309,2.6,Propia,0,0,61
FT-00310,5.01,Propia,0,0,85
FT-00311,2.85,Propia,0,0,75
FT-00312,6.53,Propia,0,0,71
FT-00313,4.58,Propia,0,0,70
FT-00314,1.75,Propia,1,1,48
FT-00315,4.81,Alquilada,0,0,94
FT-00316,6.17,Propia,0,0,77
FT-00317,3.82,Propia,0,0,94
FT-00318,6.43,Propia,0,0,72
FT-00319,4.61,Propia,0,0,79
FT-00320,3.18,Alquilada,0,0,83
FT-00321,7.81,Propia,0,0,80
FT-00322,2.35,Alquilada,0,0,70
FT-00323,3.5,Propia,0,0,55
FT-00324,3.88,Propia,0,0,99
FT-00325,3.24,Propia,1,1,36
FT-00326,5.05,Propia,0,0,100
FT-00327,4.76,Alquilada,0,0,68
FT-00328,3.01,Propia,0,0,90
FT-00329,3.77,Propia,0,0,81
FT-00330,3.21,Alquilada,0,0,81
FT-00331,4.7,Propia,0,0,68
FT-00332,5.82,Alquilada,0,0,70
FT-00333,8.46,Propia,0,0,70
FT-00334,3.33,Propia,0,0,76
FT-00335,2.32,Alquilada,0,0,72
FT-00336,3.52,Propia,0,0,69
FT-00337,5.54,Propia,0,0,64
FT-00338,2.88,Propia,0,0,65
FT-00339,3.92,Propia,0,0,79
FT-00340,4.78,Propia,0,0,65
FT-00341,3.36,Propia,0,0,61
FT-00342,4.25,Alquilada,0,0,75
FT-00343,2.78,Propia,0,0,49
FT-00344,5.97,Alquilada,0,0,73
FT-00345,3.61,Alquilada,0,0,74
FT-00346,4.2,Propia,0,0,79
FT-00347,1.98,Alquilada,0,0,77
FT-00348,2.64,Propia,0,0,59
FT-00349,5.48,Propia,0,0,71
FT-00350,3.34,Propia,0,0,80
FT-00351,2.83,Alquilada,0,0,78
FT-00352,2.26,Alquilada,0,0,64
FT-00353,5.93,Alquilada,0,0,78
FT-00354,4.98,Propia,0,0,83
FT-00355,4.86,Propia,0,0,62
FT-00356,6.74,Alquilada,0,0,51
FT-00357,3.5,Propia,1,0,93
FT-00358,2.33,Alquilada,0,0,76
FT-00359,1.63,Alquilada,0,1,42
FT-00360,7.2,Propia,0,0,68
FT-00361,4.03,Propia,0,0,75
FT-00362,5.77,Alquilada,0,0,84
FT-00363,2.36,Propia,0,0,56
FT-00364,2.99,Propia,0,0,69
FT-00365,3.34,Alquilada,1,1,43
FT-00366,4.17,Propia,0,0,82
FT-00367,2.87,Alquilada,1,1,44
FT-00368,2.91,Alquilada,0,1,57
FT-00369,5.34,Alquilada,0,0,76
FT-00370,4.21,Alquilada,0,0,68
FT-00371,1.5,Alquilada,0,0,67
FT-00372,3.95,Propia,0,0,82
FT-00373,4.56,Alquilada,0,0,67
FT-00374,2.0,Propia,0,0,76
FT-00375,4.51,Propia,0,0,75
FT-00376,5.83,Propia,0,0,97
FT-00377,3.94,Alquilada,0,0,71
FT-00378,2.72,Alquilada,0,0,86
FT-00379,1.57,Alquilada,0,0,81
FT-00380,4.54,Propia,0,0,72
FT-00381,2.09,Alquilada,0,0,59
FT-00382,4.85,Propia,0,0,72
FT-00383,7.07,Propia,0,0,83
FT-00384,1.66,Propia,0,0,60
FT-00385,3.04,Alquilada,0,0,82
FT-00386,3.64,Alquilada,0,0,88
FT-00387,7.22,Alquilada,0,0,74
FT-00388,4.11,Propia,0,0,83
FT-00389,3.35,Propia,0,0,75
FT-00390,5.54,Alquilada,0,0,79
FT-00391,3.1,Propia,0,1,61
FT-00392,2.96,Propia,0,0,56
FT-00393,4.82,Alquilada,0,0,65
FT-00394,5.7,Propia,0,0,87
FT-00395,1.39,Propia,0,0,89
FT-00396,3.73,Alquilada,1,1,45
FT-00397,4.23,Propia,0,0,90
FT-00398,3.7,Propia,0,0,45
FT-00399,3.9,Alquilada,0,0,80
FT-00400,2.73,Propia,0,0,75
FT-00401,4.95,Alquilada,0,0,65
FT-00402,3.01,Alquilada,1,1,42
FT-00403,2.93,Propia,0,0,66
FT-00404,4.95,Alquilada,0,0,71
FT-00405,5.5,Propia,0,0,95
FT-00406,1.36,Alquilada,0,1,59
FT-00407,4.88,Propia,0,0,89
FT-00408,3.05,Propia,1,0,69
FT-00409,2.05,Alquilada,0,1,56
FT-00410,5.71,Alquilada,0,0,61
FT-00411,5.94,Alquilada,0,0,70
FT-00412,2.54,Alquilada,1,1,40
FT-00413,2.89,Alquilada,1,1,47
FT-00414,3.13,Propia,0,0,65
FT-00415,6.58,Propia,0,0,64
FT-00416,2.96,Propia,0,0,77
FT-00417,4.28,Propia,0,0,72
FT-00418,1.79,Propia,0,0,65
FT-00419,4.27,Alquilada,0,0,64
FT-00420,2.57,Propia,0,0,65
FT-00421,4.74,Propia,0,0,82
FT-00422,3.73,Alquilada,0,0,78
FT-00423,3.45,Propia,0,0,65
FT-00424,6.64,Alquilada,1,0,65
FT-00425,8.01,Alquilada,0,0,60
FT-00426,2.3,Alquilada,0,0,69
FT-00427,3.49,Propia,0,0,74
FT-00428,6.07,Alquilada,1,1,58
FT-00429,4.47,Propia,0,0,97
FT-00430,5.12,Propia,0,0,80
FT-00431,3.83,Alquilada,0,0,73
FT-00432,5.8,Alquilada,0,0,74
FT-00433,4.21,Alquilada,0,0,58
FT-00434,4.56,Propia,0,0,60
FT-00435,2.57,Alquilada,0,0,88
FT-00436,4.06,Propia,0,0,91
FT-00437,5.24,Alquilada,0,0,49
FT-00438,4.39,Propia,0,0,78
FT-00439,7.43,Alquilada,0,0,88
FT-00440,4.13,Propia,0,0,69
FT-00441,4.66,Propia,0,0,90
FT-00442,1.23,Propia,1,1,68
FT-00443,3.87,Alquilada,0,0,78
FT-00444,5.3,Alquilada,0,0,70
FT-00445,3.78,Propia,0,0,74
FT-00446,2.46,Alquilada,0,1,52
FT-00447,2.46,Alquilada,1,1,49
FT-00448,3.17,Alquilada,0,0,76
FT-00449,2.25,Propia,0,0,68
FT-00450,4.86,Alquilada,0,0,52
FT-00451,6.83,Propia,0,0,71
FT-00452,4.9,Propia,0,0,62
FT-00453,6.2,Alquilada,0,0,61
FT-00454,2.71,Alquilada,0,1,43
FT-00455,2.53,Propia,0,0,82
FT-00456,3.49,Propia,0,0,61
FT-00457,5.64,Propia,0,0,63
FT-00458,4.75,Propia,0,0,81
FT-00459,4.87,Propia,0,0,65
FT-00460,4.12,Propia,0,0,61
FT-00461,3.51,Propia,0,0,82
FT-00462,4.19,Alquilada,0,0,72
FT-00463,3.73,Alquilada,0,0,74
FT-00464,3.42,Alquilada,0,0,71
FT-00465,1.49,Alquilada,1,1,54
FT-00466,3.61,Alquilada,0,0,81
FT-00467,4.34,Alquilada,0,0,72
FT-00468,1.86,Propia,0,0,57
FT-00469,4.21,Alquilada,0,0,76
FT-00470,0.83,Alquilada,0,1,31
FT-00471,6.32,Propia,0,0,82
FT-00472,2.87,Alquilada,0,1,29
FT-00473,4.1,Propia,0,0,70
FT-00474,5.55,Propia,0,1,56
FT-00475,3.79,Propia,0,0,82
FT-00476,1.04,Alquilada,1,1,30
FT-00477,5.26,Propia,0,0,68
FT-00478,4.71,Alquilada,0,0,71
FT-00479,3.57,Alquilada,1,1,7
FT-00480,3.43,Alquilada,0,0,65
FT-00481,3.28,Propia,0,0,81
FT-00482,4.34,Alquilada,0,0,67
FT-00483,5.41,Alquilada,0,0,78
FT-00484,2.4,Propia,0,0,73
FT-00485,3.83,Propia,0,0,81
FT-00486,2.18,Alquilada,1,1,45
FT-00487,3.99,Propia,0,0,85
FT-00488,5.09,Propia,0,0,94
FT-00489,3.54,Alquilada,1,1,58
FT-00490,3.84,Alquilada,0,1,52
FT-00491,3.47,Propia,0,0,72
FT-00492,5.7,Propia,0,0,65
FT-00493,3.0,Propia,0,0,77
FT-00494,5.38,Alquilada,0,0,85
FT-00495,2.49,Alquilada,0,0,51
FT-00496,4.24,Propia,0,0,50
FT-00497,4.93,Propia,0,0,91
FT-00498,3.02,Propia,0,0,70
FT-00499,2.56,Alquilada,0,1,65
FT-00500,1.16,Propia,1,1,64
FT-00501,4.01,Alquilada,0,0,73
FT-00502,3.55,Propia,0,0,88
FT-00503,3.26,Alquilada,0,0,78
FT-00504,5.28,Alquilada,0,0,75
FT-00505,5.91,Propia,0,0,54
FT-00506,5.79,Alquilada,0,0,81
FT-00507,1.42,Alquilada,1,1,42
FT-00508,4.86,Propia,0,0,66
FT-00509,4.38,Alquilada,1,1,27
FT-00510,3.88,Propia,0,0,64
FT-00511,4.12,Alquilada,0,0,79
FT-00512,4.39,Alquilada,0,0,86
FT-00513,3.17,Alquilada,0,1,23
FT-00514,4.01,Propia,0,0,68
FT-00515,4.62,Propia,0,0,67
FT-00516,4.3,Alquilada,0,0,77
FT-00517,4.3,Propia,1,0,68
FT-00518,3.1,Alquilada,0,0,99
FT-00519,2.01,Propia,1,1,29
FT-00520,4.4,Propia,0,0,72
FT-00521,3.42,Propia,0,0,76
FT-00522,3.15,Propia,0,0,75
FT-00523,2.34,Alquilada,0,1,55
FT-00524,3.89,Propia,0,0,87
FT-00525,6.21,Alquilada,0,0,80
FT-00526,4.79,Propia,0,0,81
FT-00527,3.03,Propia,0,0,66
FT-00528,4.99,Propia,0,0,69
FT-00529,4.55,Alquilada,0,0,78
FT-00530,2.99,Propia,0,0,61
FT-00531,3.27,Alquilada,0,0,80
FT-00532,1.78,Alquilada,1,1,43
FT-00533,3.12,Alquilada,0,1,40
FT-00534,1.77,Alquilada,0,0,68
FT-00535,4.21,Propia,0,0,93
FT-00536,2.36,Alquilada,1,1,36
FT-00537,4.34,Alquilada,0,0,79
FT-00538,4.11,Alquilada,0,0,65
FT-00539,4.6,Propia,0,0,76
FT-00540,5.94,Propia,0,0,67
FT-00541,1.59,Alquilada,0,1,39
FT-00542,2.33,Alquilada,0,0,71
FT-00543,1.96,Alquilada,0,0,86
FT-00544,3.52,Propia,0,0,72
FT-00545,3.55,Propia,0,0,70
FT-00546,2.47,Propia,0,0,70
FT-00547,1.64,Propia,0,0,98
FT-00548,3.43,Alquilada,0,0,80
FT-00549,6.82,Alquilada,0,0,56
FT-00550,4.54,Alquilada,1,0,67
FT-00551,4.4,Propia,0,0,69
FT-00552,3.75,Alquilada,0,0,65
FT-00553,3.52,Alquilada,0,0,74
FT-00554,4.69,Propia,0,0,67
FT-00555,2.57,Alquilada,0,0,67
FT-00556,7.45,Propia,1,0,75
FT-00557,2.64,Propia,0,0,56
FT-00558,4.84,Alquilada,0,0,49
FT-00559,2.73,Propia,1,0,87
FT-00560,4.14,Alquilada,0,0,82
FT-00561,5.02,Propia,0,0,77
FT-00562,2.17,Alquilada,0,0,76
FT-00563,2.83,Propia,0,0,71
FT-00564,2.9,Alquilada,0,0,100
FT-00565,3.62,Propia,0,0,75
FT-00566,4.32,Propia,0,0,100
FT-00567,6.87,Propia,0,0,96
FT-00568,3.26,Propia,0,0,78
FT-00569,1.29,Propia,1,1,40
FT-00570,4.48,Propia,0,0,73
FT-00571,2.61,Propia,0,0,69
FT-00572,3.75,Propia,0,0,78
FT-00573,2.34,Propia,0,0,80
FT-00574,3.52,Propia,0,0,60
FT-00575,3.44,Alquilada,0,0,100
FT-00576,2.88,Alquilada,0,1,29
FT-00577,4.84,Alquilada,0,0,43
FT-00578,2.49,Propia,1,1,65
FT-00579,2.71,Propia,0,0,60
FT-00580,7.87,Alquilada,0,0,72
FT-00581,6.2,Alquilada,0,0,74
FT-00582,1.95,Alquilada,1,1,74
FT-00583,3.72,Alquilada,0,0,84
FT-00584,4.42,Propia,0,0,62
FT-00585,3.65,Propia,0,0,69
FT-00586,4.18,Propia,0,0,80
FT-00587,4.26,Propia,0,0,66
FT-00588,2.48,Propia,0,0,52
FT-00589,3.55,Alquilada,0,0,80
FT-00590,5.55,Propia,0,0,67
FT-00591,5.38,Propia,0,0,66
FT-00592,3.52,Alquilada,0,0,74
FT-00593,4.28,Propia,0,0,73
FT-00594,3.61,Propia,0,0,84
FT-00595,2.71,Propia,0,1,67
FT-00596,2.16,Alquilada,0,0,98
FT-00597,4.7,Propia,0,0,57
FT-00598,6.35,Propia,0,0,69
FT-00599,3.08,Alquilada,0,0,63
FT-00600,6.04,Propia,0,0,74
FT-00601,4.36,Propia,0,0,73
FT-00602,3.85,Propia,0,0,75
FT-00603,3.51,Alquilada,1,0,76
FT-00604,6.11,Propia,0,0,87
FT-00605,3.62,Propia,0,0,75
FT-00606,6.68,Propia,0,0,88
FT-00607,6.41,Propia,0,0,54
FT-00608,3.34,Propia,0,0,49
FT-00609,3.71,Propia,0,0,74
FT-00610,1.92,Alquilada,0,0,77
FT-00611,3.89,Alquilada,1,0,67
FT-00612,4.06,Alquilada,0,0,73
FT-00613,5.75,Propia,0,0,85
FT-00614,6.53,Propia,0,0,80
FT-00615,5.07,Propia,0,0,69
FT-00616,3.34,Alquilada,1,1,26
FT-00617,3.71,Alquilada,0,0,81
FT-00618,2.54,Propia,0,0,59
FT-00619,4.35,Alquilada,0,0,64
FT-00620,5.72,Alquilada,0,0,83
FT-00621,1.38,Alquilada,0,0,54
FT-00622,4.13,Propia,0,0,61
FT-00623,2.02,Propia,0,0,60
FT-00624,3.0,Propia,0,0,83
FT-00625,4.18,Propia,0,0,61
FT-00626,6.57,Alquilada,0,0,82
FT-00627,3.99,Propia,0,0,69
FT-00628,4.95,Propia,0,0,93
FT-00629,4.34,Propia,0,0,74
FT-00630,3.06,Alquilada,0,0,85
FT-00631,4.63,Propia,0,0,78
FT-00632,2.88,Propia,0,1,47
FT-00633,3.97,Propia,1,0,73
FT-00634,6.07,Alquilada,0,0,73
FT-00635,4.22,Propia,0,0,68
FT-00636,4.34,Propia,1,0,83
FT-00637,3.52,Alquilada,0,0,100
FT-00638,2.22,Alquilada,0,0,74
FT-00639,3.66,Propia,0,0,81
FT-00640,5.28,Alquilada,0,0,79
FT-00641,4.53,Propia,0,0,44
FT-00642,2.57,Alquilada,0,0,78
FT-00643,1.98,Propia,0,0,78
FT-00644,3.05,Propia,0,0,59
FT-00645,3.67,Propia,0,0,53
FT-00646,1.68,Alquilada,1,1,39
FT-00647,3.78,Propia,0,0,91
FT-00648,3.97,Propia,0,0,69
FT-00649,4.58,Propia,0,0,69
FT-00650,3.44,Propia,0,0,98
FT-00651,2.81,Propia,0,0,83
FT-00652,4.76,Alquilada,0,0,60
FT-00653,5.33,Alquilada,0,0,65
FT-00654,3.25,Propia,0,0,97
FT-00655,7.47,Propia,0,0,66
FT-00656,6.44,Propia,0,0,67
FT-00657,2.63,Alquilada,0,0,80
FT-00658,2.03,Alquilada,0,0,70
FT-00659,3.73,Propia,0,0,78
FT-00660,4.35,Alquilada,0,0,76
FT-00661,7.43,Propia,0,0,71
FT-00662,3.61,Alquilada,0,1,44
FT-00663,4.96,Propia,0,0,59
FT-00664,3.46,Propia,0,0,74
FT-00665,5.84,Alquilada,0,0,67
FT-00666,4.14,Alquilada,1,0,91
FT-00667,2.43,Alquilada,0,0,71
